City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
202,Sheopur,IN,2021-09-25 01:46:20,25.6667,76.7,79.07,86,90,5.28
203,Bethel,US,2021-09-25 01:44:29,41.3712,-73.414,62.96,89,1,4.61
204,Saint-Georges,GD,2021-09-25 01:46:21,12.0564,-61.7485,82.08,83,20,2.3
205,A Coruna,ES,2021-09-25 01:46:21,43.3713,-8.396,63.05,91,64,3.0
206,Dzhebariki-Khaya,RU,2021-09-25 01:46:22,62.2167,135.8,44.26,76,100,5.61
207,Tongliao,CN,2021-09-25 01:46:22,43.6125,122.2653,62.55,93,100,10.51
208,Humaita,BR,2021-09-25 01:46:23,-7.5061,-63.0208,74.05,93,52,1.19
209,Kenai,US,2021-09-25 01:44:18,60.5544,-151.2583,41.02,87,90,3.44
210,Virginia Beach,US,2021-09-25 01:42:43,36.8529,-75.978,70.0,67,20,0.0
211,Yichang,CN,2021-09-25 01:46:23,30.7144,111.2847,88.05,60,44,0.13
212,Lindi,TZ,2021-09-25 01:46:24,-10.0,39.7167,68.16,97,52,4.05
213,Geraldton,AU,2021-09-25 01:46:24,-28.7667,114.6,68.41,40,0,4.61
214,Kahului,US,2021-09-25 01:44:30,20.8947,-156.47,86.02,52,1,24.16
215,Hay River,CA,2021-09-25 01:46:25,60.8156,-115.7999,57.18,54,20,9.22
216,Verkhnevilyuysk,RU,2021-09-25 01:46:25,63.4453,120.3167,43.95,61,4,5.3
217,Komsomolskiy,UZ,2021-09-25 01:42:57,40.4272,71.7189,59.72,41,0,6.91
218,Hasaki,JP,2021-09-25 01:46:26,35.7333,140.8333,75.6,70,71,18.81
219,Sola,VU,2021-09-25 01:46:27,-13.8833,167.55,79.12,79,60,15.75
220,Palkino,RU,2021-09-25 01:46:27,57.5409,28.0126,46.15,97,100,7.92
221,Front Royal,US,2021-09-25 01:45:58,38.9182,-78.1944,58.89,91,1,1.86
222,Tahta,EG,2021-09-25 01:46:28,26.7693,31.5021,75.52,43,0,9.01
223,Bambous Virieux,MU,2021-09-25 01:41:43,-20.3428,57.7575,71.22,94,75,3.44
224,Grindavik,IS,2021-09-25 01:46:29,63.8424,-22.4338,40.95,87,75,12.66
225,Beringovskiy,RU,2021-09-25 01:42:40,63.05,179.3167,32.79,94,100,23.58
226,Mus,TR,2021-09-25 01:46:29,39.0,41.75,43.86,79,1,2.71
227,Touros,BR,2021-09-25 01:46:30,-5.1989,-35.4608,77.9,80,0,16.26
228,Mitsamiouli,KM,2021-09-25 01:46:30,-11.3847,43.2844,75.51,75,0,7.36
229,Magistralnyy,RU,2021-09-25 01:46:31,56.1725,107.4458,41.5,90,100,5.75
230,Pasighat,IN,2021-09-25 01:46:31,28.0667,95.3333,83.34,71,17,0.29
231,Baykit,RU,2021-09-25 01:46:32,61.67,96.37,36.05,81,100,3.2
232,Constantine,DZ,2021-09-25 01:46:32,36.365,6.6147,74.61,49,0,4.61
233,Lodwar,KE,2021-09-25 01:46:32,3.1191,35.5973,80.47,49,94,12.93
234,Moose Factory,CA,2021-09-25 01:46:33,51.2585,-80.6094,48.2,93,90,11.5
235,Praya,CV,2021-09-25 01:46:33,14.9215,-23.5087,77.54,78,20,10.36
236,Ballina,AU,2021-09-25 01:46:34,-28.8667,153.5667,84.78,39,7,8.05
237,Luderitz,NA,2021-09-25 01:41:18,-26.6481,15.1594,59.09,65,40,10.36
238,Pombas,CV,2021-09-25 01:46:35,17.1503,-25.0201,76.78,75,85,8.68
239,Fortuna,US,2021-09-25 01:42:46,40.5982,-124.1573,62.91,63,1,3.0
240,Vostok,RU,2021-09-25 01:46:35,46.4856,135.8833,59.04,47,99,2.3
241,Amapa,BR,2021-09-25 01:46:36,1.0,-52.0,72.37,85,100,3.06
242,Cidreira,BR,2021-09-25 01:43:53,-30.1811,-50.2056,60.48,86,37,3.76
243,Rosetta,EG,2021-09-25 01:46:37,31.4044,30.4164,71.42,59,36,6.73
244,Dovolnoye,RU,2021-09-25 01:46:38,54.4958,79.6671,41.45,87,100,10.13
245,Meulaboh,ID,2021-09-25 01:41:50,4.1363,96.1285,80.87,78,66,4.72
246,Hualmay,PE,2021-09-25 01:44:28,-11.0964,-77.6139,62.22,85,56,8.21
247,Richards Bay,ZA,2021-09-25 01:46:39,-28.783,32.0377,63.86,90,65,3.71
248,Novyy Urengoy,RU,2021-09-25 01:45:10,66.0833,76.6333,32.16,84,8,9.06
249,Wadi Musa,JO,2021-09-25 01:46:40,30.3222,35.4793,54.77,84,0,1.48
250,Vaitape,PF,2021-09-25 01:46:40,-16.5167,-151.75,77.23,62,0,1.92
251,Lavrentiya,RU,2021-09-25 01:43:29,65.5833,-171.0,32.31,92,100,23.47
252,Lashio,MM,2021-09-25 01:46:41,22.9333,97.75,73.71,87,94,0.85
253,Naze,JP,2021-09-25 01:46:41,28.3667,129.4833,85.12,78,24,13.96
254,Kanniyakumari,IN,2021-09-25 01:43:37,8.0833,77.5667,80.53,80,100,19.3
255,Nelson Bay,AU,2021-09-25 01:46:42,-32.7167,152.15,79.77,55,0,3.0
256,Port Hedland,AU,2021-09-25 01:46:42,-20.3167,118.5667,78.85,69,40,10.36
257,Westlock,CA,2021-09-25 01:46:42,54.1502,-113.8688,70.18,40,99,13.8
258,Narkevychi,UA,2021-09-25 01:46:43,49.5172,26.6418,46.29,86,57,14.18
259,Panlaitan,PH,2021-09-25 01:46:43,12.1191,119.8486,84.52,69,46,2.57
260,Port Hardy,CA,2021-09-25 01:42:48,50.6996,-127.4199,59.18,77,40,3.44
261,Machico,PT,2021-09-25 01:46:44,32.7,-16.7667,69.71,75,20,3.44
262,Kisangani,CD,2021-09-25 01:46:45,0.5167,25.2,67.12,99,99,1.52
263,Nome,US,2021-09-25 01:43:35,64.5011,-165.4064,41.07,87,90,11.5
264,Rosarito,MX,2021-09-25 01:46:45,32.3333,-117.0333,73.42,75,83,3.67
265,Iskateley,RU,2021-09-25 01:46:46,67.6803,53.1512,37.94,87,12,13.0
266,Harper,LR,2021-09-25 01:42:16,4.375,-7.7169,77.36,88,71,6.91
267,Masuda,JP,2021-09-25 01:46:46,34.6667,131.85,78.53,78,75,5.75
268,Stornoway,GB,2021-09-25 01:46:47,58.2093,-6.3865,53.56,87,40,12.66
269,Sulangan,PH,2021-09-25 01:46:47,11.1373,123.7228,83.48,73,97,2.46
270,Ostrogozhsk,RU,2021-09-25 01:46:48,50.8664,39.0756,47.59,87,100,7.87
271,Bathsheba,BB,2021-09-25 01:43:47,13.2167,-59.5167,83.01,78,40,10.36
272,Naustdal,NO,2021-09-25 01:46:48,61.509,5.7168,50.13,94,100,5.08
273,Rosario,AR,2021-09-25 01:46:49,-32.9468,-60.6393,59.07,74,0,3.0
274,Ketchikan,US,2021-09-25 01:44:32,55.3422,-131.6461,55.87,88,75,9.22
275,Khandbari,NP,2021-09-25 01:46:49,27.3747,87.2039,75.51,78,46,0.96
276,Sucha Beskidzka,PL,2021-09-25 01:44:20,49.7419,19.5943,59.99,86,100,5.37
277,Bogense,DK,2021-09-25 01:46:50,55.5669,10.0886,59.41,90,27,16.24
278,Banepa,NP,2021-09-25 01:46:50,27.6298,85.5214,68.32,94,40,2.3
279,Iwanai,JP,2021-09-25 01:46:51,42.9744,140.5089,66.18,49,3,4.38
280,Srednekolymsk,RU,2021-09-25 01:44:14,67.45,153.6833,41.4,61,100,10.89
281,Swellendam,ZA,2021-09-25 01:46:52,-34.0226,20.4417,46.78,84,72,1.05
282,Maragogi,BR,2021-09-25 01:46:52,-9.0122,-35.2225,74.84,87,32,10.54
283,Trat,TH,2021-09-25 01:46:52,12.5,102.5,80.98,99,100,6.26
284,Rio Bravo,MX,2021-09-25 01:46:53,25.9833,-98.1,80.08,58,9,12.17
285,Tororo,UG,2021-09-25 01:46:53,0.693,34.1809,64.24,86,97,3.13
286,Laguna,US,2021-09-25 01:44:19,38.421,-121.4238,95.23,18,1,8.05
287,Ginir,ET,2021-09-25 01:46:54,7.1333,40.7,60.26,72,100,3.24
288,Huallanca,PE,2021-09-25 01:46:54,-9.8993,-76.9417,47.01,81,80,4.92
289,Gilbues,BR,2021-09-25 01:46:55,-9.8317,-45.3439,78.69,47,27,3.11
290,Pangody,RU,2021-09-25 01:46:55,65.85,74.4859,31.82,79,3,7.65
291,New Milford,US,2021-09-25 01:45:50,40.9327,-74.0179,68.09,76,1,3.44
292,Jining,CN,2021-09-25 01:46:56,35.405,116.5814,65.08,92,100,9.26
293,Tomatlan,MX,2021-09-25 01:46:56,19.9333,-105.25,78.31,94,100,2.59
294,Sabinas Hidalgo,MX,2021-09-25 01:46:57,26.5,-100.1667,76.05,39,10,5.28
295,Diego De Almagro,CL,2021-09-25 01:46:57,-26.3667,-70.05,59.4,43,0,0.11
